num_visits_customer,total_net_sales,is_cc_user,avg_net_sales_per_visit,pct_spent_sweaters,pct_spent_knit_tops,pct_spent_knit_dresses,pct_spent_blouses,pct_spent_jackets,pct_spent_career_pants,pct_spent_casual_pants,pct_spent_shirts,pct_spent_dresses,pct_spent_suits,pct_spent_outwear,pct_spent_jewelry,pct_spent_fashion,pct_spent_legwear,pct_spent_collectibles,ammount_spend_store_1,ammount_spend_store_2,ammount_spend_store_3,ammount_spend_store_4,ammount_spend_past_3months,ammount_spend_past_month,ammount_spend_past_6months,ammount_spend_last_year_same_period,gross margin percentage,num_mkt_promotions,num_days_customer,num_days_between_purchases,markdown,num_diff_product_classes,num_cupons_used,num_individual_items_purchased,num_stores_shopped,has_valid_phone,is_web_shopper,promotions_num_mailed,promotions_num_responded,promotions_pct_responded,product_uniformity,num_days_between_purchases_lifetime,pct_returns_products
3,288.49,False,96.16,0.75,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,217.5,58.0,12.99,0.0,0.0,12.99,0.0,0.55,9,670,223.33,0.27,5,0,13,3,True,False,3,0,0.0,61.08,83.75,0.0
3,276.7,False,92.23,0.25,0.1,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,168.75,107.95,0.0,0.0,0.0,0.0,0.44,13,656,218.66,0.44,7,0,11,2,True,False,5,0,0.0,34.84,65.6,0.0
5,667.43,False,133.48,0.13,0.01,0.11,0.24,0.1,0.09,0.12,0.11,0.0,0.0,0.0,0.005735,0.0,0.0,0.09,371.9,0.0,156.21,139.32,0.0,0.0,164.32,0.0,0.38,15,659,131.8,0.18,11,0,30,4,True,False,6,2,33.33,15.07,47.07,0.04
5,640.84,True,128.16,0.21,0.04,0.0,0.11,0.25,0.19,0.14,0.0,0.0,0.0,0.0,0.006242,0.02,0.0,0.24,0.0,489.87,98.01,52.96,0.0,0.0,0.0,119.97,0.47,21,655,131.0,0.23,11,2,26,5,True,False,10,2,20.0,24.58,22.58,0.0
3,989.76,False,329.92,0.36,0.08,0.09,0.0,0.11,0.17,0.05,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,989.76,0.0,0.0,0.0,62.0,0.0,0.47,6,665,221.66,0.22,10,0,35,2,True,False,1,0,0.0,21.34,133.0,0.0
2,166.97,False,83.48,0.0,0.0,0.23,0.26,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,166.97,0.0,166.97,0.0,166.97,0.0,0.65,1,68,34.0,0.25,4,0,4,1,True,False,0,0,0.0,25.3,34.0,0.0
2,266.97,True,133.48,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.11,0.87,0.0,0.0,0.0,0.0,0.0,0.0,29.99,236.98,0.0,0.0,0.0,0.0,32.99,0.39,15,641,320.5,0.38,3,0,3,2,True,False,5,0,0.0,78.08,128.2,0.0
7,873.67,True,124.81,0.27,0.02,0.0,0.13,0.1,0.05,0.1,0.0,0.0,0.26,0.0,0.0,0.02,0.02,0.0,0.0,29.0,844.67,0.0,460.7,218.96,460.7,64.0,0.56,17,363,51.85,0.22,11,2,28,3,True,False,6,2,33.33,18.68,18.15,0.0
11,680.6,True,61.87,0.12,0.01,0.0,0.11,0.08,0.0,0.02,0.07,0.19,0.16,0.0,0.02,0.02,0.0,0.0,0.0,251.61,428.99,0.0,15.18,15.18,35.17,187.47,0.46,18,702,63.81,0.24,15,2,27,2,True,False,9,6,66.67,10.91,25.07,0.18
2,202.0,False,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.11,0.0,0.0,0.0,0.0,178.0,24.0,0.0,24.0,0.0,24.0,0.0,0.76,6,205,102.5,0.0,3,0,3,2,True,True,1,0,0.0,79.06,22.77,0.0
6,460.17,False,76.69,0.16,0.0,0.09,0.12,0.29,0.05,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,460.17,0.0,239.99,99.0,239.99,0.0,0.54,19,565,94.16,0.22,8,1,17,3,True,False,9,2,22.22,19.55,37.66,0.14
2,108.96,False,54.48,0.37,0.06,0.0,0.13,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,108.96,0.0,108.96,60.99,108.96,0.0,0.31,12,647,323.5,0.46,5,0,7,1,False,True,8,1,12.5,25.28,129.4,0.0
1,108.99,False,108.99,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.99,0.0,108.99,0.0,108.99,0.0,0.5,1,74,74.0,0.21,2,0,2,1,True,False,0,0,0.0,54.04,74.0,0.0
2,68.99,True,34.49,0.09,0.0,0.0,0.19,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.32,6.67,0.0,0.0,0.0,0.0,0.0,0.32,16,557,278.5,0.42,3,1,4,2,True,False,8,0,0.0,55.1,139.25,0.0
1,232.19,True,232.19,0.0,0.0,0.0,0.0,0.38,0.22,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.61,0.0,0.0,232.19,0.0,0.0,0.0,0.0,0.0,0.53,15,340,340.0,0.1,3,0,3,1,True,False,5,0,0.0,72.48,170.0,0.0
12,807.11,True,67.25,0.35,0.04,0.25,0.05,0.01,0.15,0.02,0.06,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,692.56,114.55,0.0,282.19,120.5,539.2,0.0,0.4,13,339,28.25,0.25,14,1,39,2,True,False,4,3,75.0,23.07,9.97,0.0
1,206.5,False,206.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,206.5,0.0,0.0,0.0,0.0,0.0,0.59,11,300,300.0,0.3,1,0,5,1,True,False,4,0,0.0,100.0,300.0,0.0
5,141.44,False,28.28,0.13,0.22,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.09,0.0,0.0,0.0,52.49,88.95,0.0,12.99,0.0,12.99,0.0,0.25,2,631,126.2,0.3,7,0,10,2,True,False,0,0,0.0,13.71,78.87,0.26
3,685.19,True,228.39,0.03,0.04,0.0,0.05,0.34,0.33,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.0,120.3,564.89,0.0,0.0,0.0,536.45,148.74,0.59,21,687,229.0,0.11,9,0,25,2,True,False,8,1,12.5,26.46,49.07,0.0
4,361.44,False,90.36,0.43,0.0,0.0,0.1,0.0,0.05,0.1,0.11,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.7,76.74,0.0,62.0,62.0,62.0,136.49,0.43,14,629,157.25,0.25,8,0,13,3,True,False,8,3,37.5,26.44,48.38,0.0
1,225.5,False,225.5,0.09,0.0,0.08,0.0,0.68,0.11,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.5,0.0,0.0,0.0,0.0,0.0,0.4,5,215,215.0,0.3,6,0,7,1,True,False,1,0,0.0,49.62,215.0,0.0
3,254.91,False,84.97,0.13,0.03,0.0,0.0,0.15,0.11,0.11,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.91,0.0,0.0,0.0,219.93,0.0,0.33,20,635,211.66,0.05,6,0,9,2,False,False,8,1,12.5,25.87,127.0,0.0
10,353.94,False,35.39,0.11,0.02,0.13,0.04,0.0,0.0,0.08,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.95,63.99,0.0,73.97,0.0,137.96,0.0,0.6,16,571,57.1,0.07,9,0,14,4,True,False,10,2,20.0,9.22,19.68,0.58
1,148.0,False,148.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.72,15,689,689.0,0.0,2,0,2,1,True,False,4,0,0.0,155.7,344.5,0.0
1,86.4,True,86.4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.4,0.0,0.0,0.0,0.0,0.0,0.62,8,291,291.0,0.1,2,0,2,1,True,False,2,0,0.0,50.0,291.0,0.0
5,288.95,False,57.79,0.0,0.0,0.0,0.16,0.39,0.0,0.0,0.0,0.09,0.34,0.0,0.0,0.0,0.0,0.0,27.99,140.98,119.98,0.0,0.0,0.0,99.99,0.0,0.35,7,406,81.2,0.25,4,0,7,5,True,False,1,0,0.0,30.96,36.9,0.0
4,457.71,False,114.42,0.2,0.0,0.0,0.21,0.21,0.26,0.04,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,36.75,420.96,0.0,0.0,0.0,0.0,0.0,0.57,14,614,153.5,0.1,7,0,12,2,True,False,8,1,12.5,21.07,47.23,0.0
2,138.98,False,69.49,0.0,0.0,0.0,0.21,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,138.98,0.0,0.0,0.0,59.0,0.0,0.65,4,272,136.0,0.0,3,0,3,1,True,False,1,0,0.0,84.17,136.0,0.0
12,1169.94,True,97.49,0.5,0.08,0.0,0.11,0.08,0.05,0.06,0.05,0.0,0.0,0.0,0.0,0.03,0.008641,0.13,0.0,0.0,1169.94,0.0,244.0,244.0,664.99,0.0,0.59,15,507,42.25,0.23,12,3,42,1,True,False,8,2,25.0,30.88,24.14,0.0
1,143.91,False,143.91,0.13,0.06,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.34,0.0,0.0,0.0,0.0,143.91,0.0,0.0,0.0,143.91,0.0,0.46,8,141,141.0,0.0,7,0,11,1,True,False,1,0,0.0,24.49,141.0,0.0
2,549.98,False,274.99,0.25,0.0,0.07,0.0,0.18,0.1,0.0,0.1,0.23,0.0,0.0,0.0,0.02,0.02,0.39,0.0,0.0,549.98,0.0,0.0,0.0,194.99,0.0,0.66,0,481,240.5,0.06,8,0,14,2,True,False,0,0,0.0,33.45,160.33,0.0
3,477.72,True,159.24,0.25,0.0,0.09,0.03,0.1,0.08,0.0,0.04,0.27,0.0,0.0,0.0,0.06,0.04,0.1,0.0,0.0,477.72,0.0,427.73,357.75,477.72,0.0,0.48,12,411,137.0,0.3,13,1,20,2,True,False,5,0,0.0,18.61,31.61,0.0
3,194.42,True,64.8,0.42,0.0,0.0,0.09,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.98,161.44,0.0,141.95,0.0,194.42,0.0,0.48,10,413,137.66,0.27,3,0,9,2,True,False,3,1,33.33,42.23,27.53,0.0
15,1620.29,True,108.01,0.07,0.05,0.003804,0.03,0.24,0.05,0.06,0.07,0.11,0.0,0.0,0.02,0.08,0.04,0.09,0.0,731.21,889.08,0.0,447.47,179.97,871.49,219.23,0.48,25,609,40.6,0.28,20,2,69,7,True,False,10,7,70.0,11.49,11.71,0.13
2,511.95,False,255.97,0.21,0.01,0.0,0.05,0.0,0.11,0.11,0.18,0.03,0.25,0.0,0.0,0.0,0.0,0.11,0.0,290.97,220.98,0.0,389.97,389.97,389.97,0.0,0.45,13,488,244.0,0.33,10,0,16,2,True,False,9,0,0.0,19.23,54.22,0.0
1,129.48,False,129.48,0.15,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.76,0.0,0.0,129.48,0.0,0.0,0.0,0.0,0.0,0.61,19,554,554.0,0.03,3,0,3,1,True,False,10,0,0.0,119.96,110.8,0.0
7,218.95,False,31.27,0.21,0.0,0.0,0.31,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.95,0.0,0.0,0.0,119.97,29.99,0.52,10,580,82.85,0.16,5,0,9,2,True,False,3,0,0.0,16.64,64.44,0.47
4,107.16,False,26.79,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.13,0.0,0.1,0.0,0.0,0.0,107.16,0.0,96.18,0.0,104.17,0.0,0.29,8,611,152.75,0.39,5,0,9,1,True,False,3,0,0.0,48.79,35.94,0.0
7,317.43,True,45.34,0.0,0.0,0.0,0.06,0.07,0.13,0.25,0.06,0.08,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,317.43,0.0,93.0,93.0,263.45,0.0,0.47,9,677,96.71,0.13,8,2,11,2,True,False,3,1,33.33,10.58,45.13,0.41
2,179.91,True,89.95,0.18,0.0,0.0,0.0,0.25,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.06,0.07,0.0,0.0,0.0,179.91,0.0,0.0,0.0,0.0,0.0,0.49,15,335,167.5,0.2,6,0,8,1,True,False,9,1,11.11,11.92,167.5,0.45
3,90.99,False,30.33,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.05,0.0,0.0,0.0,90.99,0.0,0.0,0.0,0.0,0.0,0.67,3,243,81.0,0.0,3,0,4,1,True,False,1,0,0.0,60.04,81.0,0.0
2,132.49,False,66.24,0.79,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,58.0,74.49,0.0,63.49,0.0,63.49,0.0,0.54,3,358,179.0,0.22,4,0,6,2,True,False,0,0,0.0,65.39,59.66,0.0
10,492.86,True,49.28,0.06,0.08,0.0,0.05,0.31,0.27,0.0,0.0,0.0,0.0,0.0,3.5e-05,0.03,0.03,0.33,0.0,418.95,73.91,0.0,57.45,0.0,130.42,258.96,0.49,18,700,70.0,0.24,12,0,26,2,True,False,10,3,30.0,30.48,16.66,0.16
14,1809.03,True,129.21,0.11,0.02,0.05,0.05,0.23,0.08,0.09,0.08,0.16,0.0,0.0,0.003185,0.02,0.006381,0.08,0.0,1499.12,169.45,140.46,0.0,0.0,714.63,452.73,0.55,22,692,49.42,0.19,21,2,63,5,True,False,9,7,77.78,13.64,13.05,0.03
2,123.0,True,61.5,0.12,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.59,13,617,308.5,0.1,3,0,3,1,True,False,4,0,0.0,78.58,68.55,0.0
2,416.43,False,208.21,0.21,0.0,0.0,0.09,0.38,0.13,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5,79.98,284.95,0.0,0.0,284.95,0.0,0.6,6,670,335.0,0.11,5,0,9,3,True,False,1,0,0.0,25.07,67.0,0.0
4,717.55,True,179.38,0.38,0.0,0.0,0.0,0.33,0.08,0.06,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.22,0.0,0.0,717.55,0.0,0.0,0.0,168.49,0.0,0.44,21,677,169.25,0.33,7,1,19,1,True,False,10,2,20.0,33.62,56.41,0.0
6,475.74,False,79.29,0.24,0.04,0.13,0.16,0.25,0.07,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.05,0.0,0.0,401.97,73.77,0.0,160.99,127.0,160.99,0.0,0.56,15,531,88.5,0.19,9,1,19,2,False,False,8,2,25.0,18.11,37.92,0.0
9,454.17,True,50.46,0.29,0.04,0.06,0.17,0.13,0.09,0.0,0.05,0.02,0.0,0.0,0.0,0.04,0.0,0.0,0.0,129.78,324.39,0.0,40.0,40.0,120.95,203.47,0.04,16,600,66.66,0.34,16,1,31,2,True,False,7,4,57.14,15.99,23.07,0.06
9,435.23,False,48.35,0.0,0.02,0.0,0.14,0.1,0.0,0.0,0.0,0.03,0.0,0.16,0.01,0.0,0.0,0.1,0.0,0.0,367.26,67.97,67.97,67.97,188.43,149.99,0.61,21,642,71.33,0.22,10,0,22,3,True,False,9,3,33.33,7.25,37.76,1.13
21,3295.07,True,156.9,0.28,0.03,0.0,0.12,0.19,0.1,0.06,0.06,0.0,0.0,0.01,0.001939,0.05,0.003877,0.05,0.0,50.99,2827.97,416.11,904.78,428.89,1605.84,452.49,0.58,21,698,33.23,0.22,19,4,101,7,True,True,9,7,77.78,16.41,13.96,0.05
1,168.94,False,168.94,0.17,0.0,0.59,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,139.94,0.0,0.0,0.0,0.0,168.94,0.46,12,581,581.0,0.09,3,0,4,2,False,False,3,0,0.0,43.55,193.66,0.0
1,107.0,False,107.0,0.81,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,78.0,0.0,0.0,0.0,0.0,0.0,0.61,4,348,348.0,0.0,2,0,4,2,True,False,3,0,0.0,69.6,174.0,0.0
5,632.96,True,126.59,0.12,0.0,0.04,0.06,0.1,0.2,0.05,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,514.96,118.0,0.0,441.98,16.98,632.96,0.0,0.67,12,138,27.6,0.02,10,0,18,4,True,False,10,2,20.0,9.34,15.33,0.42
3,216.98,False,72.32,0.11,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,216.98,0.0,216.98,0.0,216.98,0.0,0.67,1,85,28.33,0.12,3,0,5,2,True,False,0,0,0.0,37.72,21.25,0.49
